vacancy,url,created,has_test,salary_from,salary_to,currency,experience,schedule,skills,employer,area,description
Technical Director for Automotive,https://hh.ru/applicant/vacancy_response?vacancyId=46108311,2021-07-09T09:31:14+0300,False,,,,Более 6 лет,Удаленная работа,,ANOTECH ENERGY,Тольятти,"ANOTECH Russia is a part of ALTEN GROUP – global engineering &amp; consulting company providing its services across Europe, Americas, Russia, and Asia. Created 30 years ago and present in more than 25 countries, ALTEN GROUP achieved sales of over 2 billion euros in 2020 and currently has 34,000 employees, 90% of whom are engineers. From the beginning, ALTEN GROUP have developed its expertise in technical fields such as Automotive, Energy, Aviation, Civil engineering, Finance, and IT. ALTEN GROUP is represented in Russia by a 100%-owned subsidiary ANOTECH Russia and now we are bringing the experience of our mother company ALTEN GROUP to CIS countries. We deliver the highest standard of services within product management, system engineering, and agile practices. Our main clients are the big names of automotive, energy, telecom, banking, and big data management industries. Within the Automotive Technical Direction, your mission will be to ensure the best practices in the management of automotive results-oriented projects in order to contribute to automotive business unit growth at ANOTECH Russia. Within the Automotive Technical Direction, you will have the following responsibilities.   Prepare and validate technical offers in the pre-sales phase (tenders):  Support Sales by providing technical expertise in automotive area to strengthen ANOTECH Russia advantages at Clients’ meetings; Contribute to understanding of Engineering projects RFI / RFQ requirements; Convert RFI / RFQ into resources (including skills, experience, IT &amp; headcount) required to manage the project and achieve desired results / KPIs; Team ramp up: transformation from time &amp; material to work-package, delivery performance (99% OTD / RFT) &amp; customer satisfaction; Participate in the response strategy;    Ensure the technical delivery of the project’s portfolio:  Take part in technical interviews with candidates for engineering positions and provide technical assessment of a candidate’s applicability; Lead monthly technical committees with clients and delivery teams to manage the the achievement of results; Ensure compliance with the financial objectives of the projects in your portfolio; Manage the project margin and productivity optimization plan;    Team management and improvement:   Use vast network and automotive market knowledge to improve the internal hiring process; Bring the technical expertise to the project team: manage the resources and skills allocated to the project; Use technical and management background during interviews to filter the best candidates; Educate the internal recruitment team to improve search process for specific automotive engineering profiles; Organize a series of workshops for the recruitment team and business managers: automotive companies engineering structure, organizational structure, etc; Perform ANOTECH Russia current services analysis and make propositions to improve / diverse them to respond to key Russian customers’ needs; Perform actual / future automotive market analysis by means of available network;    Requirements:  Higher technical education in machinery (preferable automotive area); English: intermediate and higher (ability to speak and lead meetings is a must); Location Togliatti, Moscow, Kaluga; Work experience:  &gt;15 years in engineering; Manager positions with direct reports in automotive; Previous experience at AvtoVAZ, NAMI or their suppliers would be appreciated; Portfolio should have Product Development projects executed from the very beginning to an end.   "
Salesforce Administrator,https://hh.ru/applicant/vacancy_response?vacancyId=45610956,2021-07-20T12:08:55+0300,False,,,,От 3 до 6 лет,Полный день,,Veeam Software,Санкт-Петербург,"Since Veeam was formed in 2006, the company has continued to lead the industry in terms of growth and innovation. Delivering Availability for the Always On Enterprise™, in a short period of time Veeam has amassed more than 400,000+ customers across the globe and has been named a Leader in the Gartner Magic Quadrant for Data Center Backup and Recovery Software. With HQ in Baar, Switzerland Veeam has offices in 35+ countries all over the world with 4400+ employees. OverviewThe CRM System Administrator is responsible for all levels of Salesforce administration, including user training and supporting all Veeam users worldwide. In addition, the CRM System Administrator will be assigned special projects related to sales operations by the Director, Sales Operations. Responsibilities  Day to day administration of Salesforce CRM Developing and maintaining the functional areas of data management, forecasting, deal registration, contacts, leads, campaigns, opportunities, quotes, dashboards and reports and any other customization. Maintain user roles and profiles Perform data loading and merging / processing of duplicate records Develop and manage reports and dashboards Maintain territory management within Salesforce Create and maintain workflows, approval processes, and validation rules Assist in analyzing current sales processes and suggest improvements Identify Salesforce usage problems and craft technical /communication plans to remedy Help integrate new functionality from Salesforce releases and upgrades, including plugins Continuously improve user’s Salesforce experience; focusing on speed, efficiency and shortening the sales cycle Troubleshoot escalated issues and tickets with Salesforce.com  User Training  Train new and existing end users on the Salesforce CRM Present and inform on any new Salesforce functionality that lowers the sales cycle and improves efficiency of end users.  Qualifications  3+ years of IT work experience and 1+ year of CRM administration experience Good writing, presentation, communication and organization skills Fluent English Salesforce.com experience - preferred ADM201 certified - preferred.  We offer:  Excellent professional and career opportunities in the international team of talented and energetic people. Employment according to the Labor Code of the Russian Federation (all payments are fully &quot;white&quot; + 28-Day annual leave, etc) Competitive salary and regular pay rises Moving to Prague to work in the Czech Veeam R&amp;D office after passing the probation period. Veeam helps with applying for a work visa, offers a relocation package, Czech language courses and comprehensive support before and after the move. Flexible working schedule Generous benefits package from the very first day of your employment including: Premium health insurance program for you and your children 100% compensation payments for sick leave Professional training and education: unlimited access to e-library, professional courses and conferences, English classes Sports / fitness compensation. Active corporate life: release pizzas, NY Meal Benefit as a meal card with limit; fruits, cookies, coffee in the office.    Relocation package for candidates from another city: payment for tickets to St. Petersburg and one additional salary as a one-time payment."
Product Manager,https://hh.ru/applicant/vacancy_response?vacancyId=44634892,2021-07-14T17:53:16+0300,False,,,,От 3 до 6 лет,Удаленная работа,Product Management;MS SQL Server;Английский язык;,Smartcat,Москва,"We’re looking for a Product Manager to join the Smartcat team and improve the day-to-day product experience for all our customers. We need a user advocate who is passionate about making products better, and whose analytical thinking allows them to absorb the feedback, get to the bottom of a problem, and present unambiguous solutions that align with the overall product roadmap. An ideal candidate not only knows how to build great UX, but also works with data to gather insights, and has a technical background to be able to speak developers&#39; language and understand the technical complexity of the product. Mission Smartcat develops collaboration software that allows a multi-sided marketplace of brands, agencies, and freelance linguists to translate content together. Your mission will be to increase our platform adoption and satisfaction across all user roles, ultimately making our product the go-to TMS/CAT solution on the market, and to make tens of thousands of Smartcat customers’ project managers and hundreds of thousands of freelancers more productive and happy. Your outcomes   Collect and process information from all the relevant sources (customer feedback and requests, ux improvement ideas, etc.). Use data and customer development to prioritize it, build and maintain your team&#39;s backlog.   Use data to identify user journeys and bottlenecks, then measure how the implemented changes improve the user experience and conversion rates along their journey.   Work with designers and software developers to plan the development sprints, track the execution and help the team deliver results on time.   Requirements   Ability to deeply understand the Smartcat product strategy and the platform’s functionality. We are building a market network for the global language industry, while engaging several sides of the marketplace and running several products combined in the all-in-one platform offering.   At least 5 years of experience working as a product manager or a product owner.   Experience working with software developers and driving product development from inception and design to delivery and analytics.   Fluent Russian and English, both written and spoken.   Exceptional communication skills to interact with colleagues, customers, and partners.   Growth-oriented mindset.   Integrity, full commitment, and a strong sense of ownership.   Experience working in a highly intense startup environment, requiring extreme focus, a sense of urgency, and persistence to break through.   Openness to feedback and alternative opinions and ideas.   Comfortable working with remote teams across time zones.   Easy-going personality, high tolerance to cultural differences.   Why joining Smartcat might be your best move so far   The ongoing rise of the content economy is causing a massive shift in the language industry. All today’s megatrends — big data, artificial intelligence, machine learning — are converging in it at lightning speed. Smartcat’s disruptive business model taps into this $50b industry with a market network where buyers and suppliers connect, collaborate, and leverage our free-to-use workflow SaaS. The next decade will be the era of market networks and reinventing the $10 trillion service economy, and we’re pioneering this global transformation in all things language-related.   You will enjoy building with us. You will drive changes in how an old-fashioned global language industry operates while improving how hundreds of thousands of people work, and millions of people exchange knowledge and ideas in the world.   While the language industry is big and fragmented enough to keep us busy building a billion-dollar company in the next few years, we are already seeing how the network naturally expands to adjacent language and content-related verticals, expanding our TAM and making our journey even more exciting.   We are a global team of 100+ enthusiastic people, with hubs in Boston, Amsterdam, Limassol, Moscow, and Hong Kong — and our users and partners are scattered all around the globe. We’re eager to succeed and transform the world of language services for the better. We grow aggressively while preserving our culture of empathy. As diverse as we are, we love working and having fun together, and we’re sure you’ll love working with us too.   Smartcat is backed by Matrix Partners, FJ Labs, and other top VC firms focusing on SaaS and marketplace startups (you might recognize names like HubSpot, Zendesk, Uber, Stripe, RigUp and Quora in their portfolios). This helps us innovate at a fast pace and learn from top professionals in other industries.  "
Мастер маникюра,https://hh.ru/applicant/vacancy_response?vacancyId=46273515,2021-07-15T16:16:47+0300,False,20000,70000,RUR,От 1 года до 3 лет,Полный день,Пользователь ПК;Работа в команде;Грамотная речь;Деловое общение;Грамотность;,Beauty bar No Name (ИП Бахматова Олеся Владимировна),Пермь,"Обязанности:  аппаратный и комбинированный маникюр, стерилизация инструментов предоставление хорошего сервиса, вежливое обращение  Требования:  опыт работы мастером маникбра от 6 месяцев уверенное владение техникой аппаратного или комбинированного маникюра плюс покрытие гель лаком Любовь к людям, коммуникабельность Вежливость  Условия:  Гибкий график работы Рассмотрим также студентов !но !!! с опытом работы и желанием развиваться. Оплачиваемое обучение Минимальная зп 20 000 "
React Native Engineer - Clojure,https://hh.ru/applicant/vacancy_response?vacancyId=46233086,2021-07-20T12:43:19+0300,False,,,,Нет опыта,Полный день,JavaScript;Android;Английский язык;GraphQL;iOS;,Urbest,Санкт-Петербург,"Urbest We are a tech company focused on building a collaborative tool for facilities, maintenance and services. At Urbest, we believe that everyone can contribute to improving their environment through small actions that, when put together, make significant improvements for a whole community. To achieve this, we have built a digital platform so that everyone can interact with others through their preferred means of communication. We believe that the simplicity and efficiency of the product is paramount for our users.   Product Engineering team: We look for engineers with a strong eye for detail and humble approach to problem solving. Supportive and being able to work effectively in teams is also a must. We look for collaborators who are strong on their own and want to grow and help push the team to new heights. We have a varied stack and our core application is built in Clojure. On top of this we work with the latest technologies such as React Native, Postgres, Docker and AWS to name a few. Our tech team organises itself in an organic and efficient way to work, whilst each member takes a lot of responsibility for the end to end delivery of a core service/feature. As a Front-End focused engineer, we expect you to have a great knowledge of Javascript modern frameworks (React or similar) - Clojure/ClojureScript knowledge and experience is a bonus. We build our web applications using React (reagent) and our mobile applications in React Native. You might already be an expert in React for web or React Native or both! We aspire for our front-end engineers to work across all our frontends and there is opportunity to move across in other area of the stack. Your code is clean, maintainable, and readable - and you won’t be afraid of creating documentation where it’s needed. Requirements :  You’re a keen full-stack engineer with a great knowledge of modern Javascript You know React (or another modern framework) or React Native and have used it in production. You’re passionate about the web, Android and iOS surfaces You have or want to build a great knowledge of GraphQL You love to test and know tools like jest, faker, detox and cypress for testing You’re interested in full-stack modern cloud development and are comfortable diving into back-end code to find a bug or assist another engineer. Technology is your strength but you’ll bring more than just your technical expertise to the table - you’re obsessed with building an easy to use and great product experience for users and helping them achieve better outcomes  Conditions :   Flexible working hours, but minimum of 35 per week.   Evolving role with growth   Perks and bonuses and potential to try new technologies  "
Unity 3D developer (mobile RTS),https://hh.ru/applicant/vacancy_response?vacancyId=46117954,2021-07-09T12:57:34+0300,False,,,,От 1 года до 3 лет,Удаленная работа,C++;Разработка компьютерных Игр;С#;Unity;Android;ООП;,Хайпмастерс,Санкт-Петербург,"Миссия Hypemasters – создавать легендарные игры, задающие тренды в своих жанрах. Мы хотим, чтобы в наши игры играли годами игроки по всему миру. Мы работаем над классической RTS в сеттинге WW2 на мобильные устройства. И сейчас команде нужен опытный программист, который смог бы вести сложные задачи (например, взаимодействие клиентской и серверной части). Игра разрабатывается на Unity, а miltiplayer часть делается на Photon Quantum - будущему члену команды предстоит работать с этими двумя системами в связке. Также, мы ищем человека, которому нравится мидкор и жанр стратегий в реальном времени. У будущего коллеги хотим видеть умение работать независимо, брать ответственность за полную реализацию фичи и стремление делать законченный и качественный продукт. Команда сейчас состоит из 24-х человек и строится по принципу меритократии идей - в игру можно привнести много идей и предложений. Будем рады видеть инициативность и в работе с геймдизайном. Нам не важно в каком ты городе или стране - работать можно как из офиса в СПБ, так и удаленно. Главное для нас - это любовь к своему делу и желание делать лучшее, что есть в мире. Это то, что нас объединяет. Задачи:  Разработка клиентской части сетевой мобильной игры Реализация игровой бизнес-логики Реализация меты игры Оптимизация для мобильных устройств  Требования:  Опыт программирования на C# и Unity от четырех лет Опыт создания сетевых мобильных real-time игр Знание принципов синхронизации сетевых игр и понимание сетевой архитектуры Уверенное знание ООП, паттернов проектирования Знание структур и алгоритмов обработки данных Знание особенностей производства графического контента для игр Опыт работы с командой программистов Умение разбираться в чужом коде Знание математической базы для работы в 3D пространстве Знание работы системы UI в Unity Умение разрабатывать shaders  Будет плюсом:  Опыт работы с Photon Quantum или Photon Опыт разработки RTS или схожих сетевых игр Умение разрабатывать shaders GLES 2.0 / 3.0, Metal &amp; Vulkan Понимание принципов анимации  Мы предлагаем:  Работу над легендарными играми в международной компании Трудоустройство по ТК РФ, белую зарплату Работу с топовыми специалистами игрового рынка (ex-CM, WG, Nekki, Playrix, Sperasoft, FB - you name it! У нас работают лучшие из лучших) Меритократия идей - все идеи оцениваются исключительно с точки зрения соответствия ценностям и целям проекта; в игровой команде все равны Культура роста - тебя ждут амбициозные цели и культура, которая постоянно провоцирует рост Возможность работать удаленно ( ты всегда можешь выбрать удобный для себя формат работы) "
PR-менеджер,https://hh.ru/applicant/vacancy_response?vacancyId=46144616,2021-07-21T08:38:50+0300,False,70000,100000,RUR,От 3 до 6 лет,Полный день,Наличие контактов с журналистами;Анализ PR стратегии конкурентов;Работа со СМИ;Работа в команде;Закупка товаров и услуг;,Like Центр,Москва,"В команду Like Центра требуется PR-менеджер. Основной продукт: онлайн и офлайн образование в сфере предпринимательства и личностного развития. Like Центр — ведущая технологическая образовательная компания для предпринимателей. В экосистему Like Центра входит инвестиционный фонд, собственная LSM-платформа и сеть коворкингов Names. Работая в нашей команде, Вы получаете возможность взаимодействовать с творческими и интересными людьми, а также возможность получить профессиональное обучение и развитие. Обязанности:  Коммуникация с журналистами профильных СМИ, новыми медиа и лидерами мнений. Работа с текстами: редактирование лонгридов, подготовка пресс-релизов и комментариев. Участие в разработке PR-стратегии, генерация инфоповодов и их отработка. Взаимодействие с партнерами. Подготовка Q&amp;A, подготовка спикеров к интервью, сопровождение на ТВ-, и радиоэфиры.  Требования:  Опыт пиара в сферах: IT, бизнеса, образования от 3-х лет. Готовность самостоятельно вести спецпроекты. Умение самостоятельно анализировать большие объемы информации и готовить на их основе материалы для СМИ Опыт работы в коммуникационном агентстве приветствуется.  Работая в Like Центре, по словам действующих сотрудников, ты получаешь:   Возможность создавать качественный продукт, которым будешь гордиться;   Топовую среду для развития и неограниченные возможности для профессионального роста;   По-домашнему теплую атмосферу Like Family, крутую команду, помощь и поддержку коллег и руководства;   Конкурентную заработную плату, оклад + KPI по итогам месяца;   Win-win — взаимовыгодное сотрудничество;   Уровень заработной платы обсуждается с итоговым кандидатом;   Работу в комфортном офисе в «Москва-Сити». Возможна удаленная работа.  "
Test manager,https://hh.ru/applicant/vacancy_response?vacancyId=45571409,2021-07-08T09:57:37+0300,False,,,,От 1 года до 3 лет,Полный день,Leadership Skills;Английский язык;Team management;Project management;MS PowerPoint;,Bell Integrator,Москва,"BI Telecom https://www.bi-telco.ru/ - is a Russian system integrator company. While BI Telecom may be a new name, we have been around for over 18 years and nowadays we are an Amdocs company https://www.amdocs.com/about. We are exclusively focused on the needs of the communications market, with the ability to leverage many years of global expertise, providing you with the combination of local talent backed by a global powerhouse. International distributed team with development centers in Israel, Cyprus, India and Russia. We are looking for Test manager with experience in Telecom domain who will be responsible for test team management, test design, testing process setup and adjustment, reporting, test execution across all the phases of project lifecycle. We offer • Competitive salary and bonuses • Professional learning and certifications, participation in IT conferences and events • English classes • Corporate Benefits • Support of remote work • Comfortable Moscow &amp; Penza Offices What will your job look like? • You will provide estimations of efforts, duration, and schedule of test activities across all test stages of the project lifecycle. • You will plan, organize, and control all project test activities (functional, integrational, automation, regression etc.) • You will participate in status meetings with business and IT. Required: • 3+ years of experience in software testing. • 1+ years of experience in test team management. • Strong knowledge of software testing theory, techniques, approaches and tools, and ability to select the most appropriate for the project. • Higher education in math, physics, or computer science. • English: upper intermediate or higher. • Knowledge of SW development methodologies (SCRUM, Waterfall etc.). • Knowledge of test automation and load/performance testing. • Knowledge of estimation techniques. • Knowledge of test metrics and KPI. • Problem-solving skills and ability to find solutions. • Leadership skills and good communication skills. Is a plus: • Experience in MS Project is a strong plus. • Experience in BSS/OSS stack. • Knowledge of continuous integration &amp; delivery (CI/CD)"
Fintech Product Manager,https://hh.ru/applicant/vacancy_response?vacancyId=44879805,2021-07-14T17:53:16+0300,False,,,,От 3 до 6 лет,Удаленная работа,Product Management;Microsoft Visual Studio;MS SQL Server;Английский язык;Fintech;,Smartcat,Москва,"Smartcat is the operating system for the global translation industry. Our team believes that the world becomes ever-more connected and interdependent. The borders that prevent people from trading, working together, and exchanging knowledge and innovations erode over time. That is the future we want to live in. Our mission is to speed up the pace at which that happens, building the best platform for Connected Translation. We don’t believe automation will render language professionals obsolete. Instead, we place powerful software into the hands of the millions of people working to globalize their own industries, plug them into our global supply network, and enable continuous delivery of multilingual content. With tens of thousands of customers and hundreds of thousands of freelancers translating together on Smartcat, we are well on our way. Mission Smartcat develops collaboration software that allows a multi-sided marketplace of brands, agencies, and freelance linguists to translate content together. Supported by our integrated payment and translation automation engines, our suite becomes the central hub for localization work. Your mission will be to leverage our unique vertical SaaS combined with the industry-tailored fintech component, develop the financial offering, and bring us above 1 billion dollars in yearly transactions volume in 3–3.5 years. Your outcomes    Complete the Smartcat fintech component strategy and roadmap, and own it going forward while increasing LTV and making the product more likely to be used indefinitely.   Own the financial services revenue objective, achieve 33% QoQ growth in Q1 2021 and maintain it throughout the following two years.   Build and champion the process of revenue expansion based on customer usage data and proactive recommendation of next-level fintech products.   Requirements   Outstanding achievement as a product manager for fintech, b2b SaaS, or marketplace platforms with a focus on product-led growth.   Ability to deeply understand the Smartcat product strategy and the platform’s functionality. We are building a market network for the global language industry while engaging several sides of the marketplace and running several products combined in the all-in-one platform offering.   Fluent English, both written and spoken.   Exceptional communication skills to interact with colleagues, customers, and partners.   Growth-oriented mindset.   Aggressive drive for growth and a high tolerance for uncertainty and risk.   Exceptional commitment to evidence- and data-informed decision making.   Integrity, full commitment, and a strong sense of ownership.   Readiness to work in a highly intense startup environment, requiring extreme focus, a sense of urgency, and persistence to break through.   Openness to feedback and alternative opinions and ideas.   Comfortable working with remote teams across time zones.   Easy-going personality, high tolerance to cultural differences.   Why joining Smartcat might be your best move so far   The ongoing rise of the content economy is causing a massive shift in the language industry. All today’s megatrends — big data, artificial intelligence, machine learning — are converging in it at lightning speed. Smartcat’s disruptive business model taps into this $50b industry with a market network where buyers and suppliers connect, collaborate, and leverage our free-to-use workflow SaaS. The next decade will be the era of market networks and reinventing the $10 trillion service economy, and we’re pioneering this global transformation in all things language-related.   You will enjoy building with us. You will drive changes in how an old-fashioned global language industry operates while improving how hundreds of thousands of people work, and millions of people exchange knowledge and ideas in the world.   While the language industry is big and fragmented enough to keep us busy building a billion-dollar company in the next few years, we are already seeing how the network naturally expands to adjacent language and content-related verticals, expanding our TAM and making our journey even more exciting.   We are a global team of 100+ enthusiastic people, with hubs in Boston, Amsterdam, Limassol, Moscow, and Hong Kong — and our users and partners are scattered all around the globe. We’re eager to succeed and transform the world of language services for the better. We grow aggressively while preserving our culture of empathy. As diverse as we are, we love working and having fun together, and we’re sure you’ll love working with us too.   Smartcat is backed by Matrix Partners, FJ Labs, and other top VC firms focusing on SaaS and marketplace startups (you might recognize names like HubSpot, Zendesk, Uber, Stripe, RigUp and Quora in their portfolios). This helps us innovate at a fast pace and learn from top professionals in other industries.   We are looking for someone who will become a part of the executive team and play a critical role in the most exciting part of our journey from a post-Series B startup to a company exceeding $1b in GMV. Our journey isn’t for the faint of heart. You need to be an extremely fast learner to bring value to our users and the industry as a whole. You need to see the big picture and execute strategies that significantly increase shareholder value over time. We need a sharp mind who can stay two steps ahead on the road with us. We’ve got lots of success to share if you’re ready for it.  "
Преподаватель английского языка для детей,https://hh.ru/applicant/vacancy_response?vacancyId=46229291,2021-07-20T11:29:22+0300,True,20000,50000,RUR,От 1 года до 3 лет,Полный день,Английский язык;Коммуникативные навыки;,Helen Doron,Краснодар,"We are a team of dedicated teachers. We believe that   language is a magnificent gift   learning is fascinating and should be fun for the students   educating young kids enriches their lives and brightens their futures   everyone deserves support and appreciation   bringing up people who care will change the world   We are highly trained professionals. We follow international methodology of Helen Doron featuring a range of effective programmes for children aged from 3 months to 19 years based on:   communicative approach   use of music and games   positive motivation   values of friendship, equality, environmental awareness   Our teachers are provided with detailed lesson plans for all the classes with a wealth of ideas and age-appropriate tasks and have access to a wide range of unique teaching materials. They feel constant support of the management team with ongoing consultations and training readily available. All Helen Doron teachers are a part of a vibrant inspirational worldwide community. If you   LOVE working with kids   are creative and enthusiastic   believe in making a better world through education   have mastered English at the level of C1 or higher   are ready to have fun!   Join our Helen Doron team! Our school offers a free 5-day training in the methodology with an international teacher trainer and at least two years of guaranteed employment to successful candidates. As well as   legal papers organised and social insurance provided   regular payments with no delays   individual schedule and workload adjusted to your needs   Interested? Here is the plan: 1. Please name the learning center you would like to work at in your cover letter.At the moment we have open positions at the following addresses: Юбилейный, Платановый бульвар, 4,Центральный, Железнодорожная улица, 2/1,Энка, ул. Покрышкина, д. 4/9Яблоновский, ул. Гагарина, 190/2 к.3, new center, opening in August Сочи, ул. Войкова, д. 27 2. Fill in the questionnaire. 3. Wait for our manager to contact you and arrange an appointment, receive the presentation task. 4. Visit our school for an interview and your presentation. Meet us, feel welcome, get feedback and ideas for a short lesson. 5. Present at a real lesson for our students! 6. Settle the details with our manager and sign-up for the training."
